196697 296194
4 152575 1
5 65414 4
5 67130 1
5 118159 2
5 65415 1
5 6 2
5 85194 1
5 17975 1
5 193459 1
7 8 2
8 103551 2
8 104506 1
8 50846 3
8 103541 1
8 175371 2
8 175925 1
8 103543 2
8 152688 2
8 152689 2
8 103548 2
8 153298 1
8 3135 2
8 152965 1
8 129220 2
8 103542 1
8 786 1
8 103553 2
8 12 2
8 191773 1
8 103547 1
8 152687 2
8 103538 2
8 177593 1
8 128789 1
8 46507 2
8 78324 1
8 152691 2
8 79546 2
8 175373 2
8 103539 2
8 27787 1
8 13691 4
8 103544 2
8 103540 2
8 103549 2
8 42094 2
8 129221 2
8 141497 1
8 79200 1
8 27180 2
8 13 2
8 53158 2
8 136314 1
8 43829 1
8 173943 1
8 11 1
8 175370 1
8 153055 1
8 129222 2
8 106841 1
8 10 1
8 184869 1
8 103545 2
8 78326 1
8 152686 2
8 152692 2
8 901 3
8 157499 1
8 15675 1
8 128236 1
8 25833 1
8 9 2
8 174293 1
8 5635 1
8 78325 2
8 126129 1
8 103546 2
8 152690 2
8 103550 3
8 175372 4
8 129433 2
8 103552 2
8 498 1
9 129433 3
10 14860 1
11 48084 1
12 3162 1
12 46519 1
12 8916 1
12 46521 1
12 8706 2
12 46520 1
14 59353 1
14 9622 1
14 12720 2
14 15 2
14 4966 6
16 195425 1
16 67605 1
16 24927 1
16 17 1
16 18 2
17 18 2
18 191607 1
19 20 2
20 103565 1
20 7646 1
20 107624 1
20 103566 1
20 23777 1
20 90623 1
21 93600 1
21 111626 1
21 95047 1
21 62371 1
21 90515 4
21 55554 1
21 128176 1
21 39972 3
21 88249 2
21 17459 1
21 21317 3
21 61469 1
21 32392 1
21 10563 1
21 63187 5
21 55481 1
21 79863 1
21 43135 3
21 100307 1
21 29618 1
21 3292 4
21 101580 1
21 80293 5
21 128263 1
21 62120 1
21 71536 1
21 127403 1
21 73757 2
21 1048 2
21 383 2
21 55480 1
21 57718 1
21 77209 3
21 28645 2
21 9366 1
21 13138 1
21 123295 1
21 128836 1
21 26223 1
21 78044 2
21 99890 1
21 127960 1
21 57317 1
21 22 1
21 82821 2
22 78336 1
22 76 1
22 2132 2
22 2353 1
22 85 1
22 49176 1
22 243 1
22 78337 1
23 38688 1
23 67724 1
23 4780 2
23 164072 1
23 25333 1
23 172106 1
23 23160 1
23 48182 1
23 39459 4
23 35616 2
23 29703 2
23 1567 1
23 65577 1
23 2644 3
23 42842 1
23 89959 1
23 50960 10
23 49396 1
23 1968 2
23 42490 4
23 2304 4
23 24 1
23 43987 1
23 5485 1
23 17182 1
23 78221 2
23 16367 2
23 9318 1
23 51895 2
23 33871 1
23 73515 1
23 13645 8
23 54276 2
23 39972 1
23 2640 7
23 52074 2
23 38334 1
23 29146 1
23 53287 1
23 104607 1
23 18865 1
23 22675 5
23 17773 1
23 72982 1
23 19570 1
24 222 1
24 46535 1
24 25 1
24 42071 1
24 38776 1
24 152709 1
24 127411 1
24 43233 1
24 103570 1
24 152712 1
24 46534 1
24 49042 2
24 48034 1
24 98364 1
24 175384 1
24 83 1
24 152708 1
24 152711 1
24 13844 1
24 118745 1
24 46536 5
24 78340 1
24 152710 1
24 78339 1
24 9058 1
24 6869 1
24 6937 2
24 11411 1
24 24132 1
24 106438 1
24 175385 1
25 45086 1
25 475 1
25 63218 2
25 474 3
25 24331 1
25 4426 1
25 2303 1
26 27 1
26 9069 2
26 2118 1
26 104660 1
26 129233 1
26 105058 1
26 27114 1
26 114180 2
26 115734 1
26 6963 1
26 30483 1
27 4512 1
27 36443 1
27 46539 1
27 46540 1
27 127411 1
28 20588 2
28 5672 3
28 1062 1
28 129443 1
28 22379 1
28 74 1
28 67682 2
28 38904 1
28 77476 1
28 61278 2
28 28540 3
28 1247 2
28 20474 1
28 15016 1
28 26736 1
28 33070 1
28 14625 1
28 456 1
28 11697 1
28 62946 1
28 29 1
28 51640 2
28 14478 3
28 3898 1
28 6343 1
28 149638 2
28 5090 2
28 38753 1
28 189950 1
28 7035 1
28 32478 2
28 40114 4
28 37469 1
28 14065 4
28 25837 1
28 57374 1
28 10325 2
28 23482 3
28 12157 1
28 21702 2
28 2143 1
28 7043 1
28 2808 4
28 26774 1
28 98835 1
28 71748 1
28 44018 1
28 9263 2
28 37877 1
28 7275 1
28 24345 1
28 184164 1
28 7081 1
28 27613 1
28 28125 1
28 107659 1
28 182136 2
28 17514 1
28 32536 1
28 13395 1
28 12594 1
28 38762 1
28 83906 1
28 35781 1
28 104100 1
28 15905 1
28 109824 1
28 39079 1
28 54984 1
28 61699 1
28 111 1
28 82884 1
28 171998 1
28 23180 1
28 191464 1
28 47241 2
28 1282 1
28 20628 1
28 15983 4
28 132193 1
28 18121 1
28 1321 1
28 23048 1
28 53904 3
28 20291 1
28 26165 2
28 40545 1
28 3201 1
28 20543 1
28 31634 2
28 37719 3
28 23257 1
28 44042 1
28 103242 3
28 10323 10
28 18445 1
28 26985 1
28 64495 1
28 21499 2
28 18176 2
28 9458 1
30 19038 1
30 25947 1
30 143437 2
30 4554 1
30 136084 3
30 11555 1
30 17134 1
30 66397 2
30 135498 1
30 31795 1
30 31 1
30 144506 1
30 142507 2
30 162827 1
30 117968 1
30 187485 1
30 143436 4
30 21763 6
30 196274 1
30 4426 1
30 4975 2
30 138726 1
30 14179 1
30 136337 1
30 159613 1
30 9262 1
30 21100 4
30 49162 1
30 35645 3
30 167739 1
30 140442 1
30 62342 1
30 193930 1
30 136083 5
30 143179 1
30 8503 1
30 91992 1
30 22501 1
30 49138 1
32 74 1
32 10534 1
32 3796 1
32 6963 5
32 2406 3
32 2644 10
32 1371 4
32 53194 1
32 157655 1
32 46703 4
32 356 1
32 4247 7
32 185362 1
32 183 4
32 14860 2
32 80041 1
32 90 1
32 25424 1
32 33 6
32 2143 2
32 50390 1
32 303 5
32 475 3
32 151718 1
32 182976 1
32 171081 1
32 340 3
32 144 4
32 167651 1
32 175702 1
32 729 1
32 11617 7
32 1627 2
32 8160 2
32 2339 2
32 220 2
32 8342 1
32 49985 1
32 153215 1
33 3806 1
33 130278 2
33 5168 2
33 34423 1
34 35 1
36 3104 1
36 81141 1
36 2641 1
36 2352 1
36 44984 1
36 48947 1
36 37 2
36 45632 1
36 39934 1
36 33242 1
36 3428 1
36 8623 1
36 6841 1
36 110501 1
36 20159 1
36 83597 2
36 49543 1
36 46888 1
36 614 1
36 3089 1
36 47997 1
36 26030 1
36 29706 1
36 6840 1
36 84342 1
36 5825 2
36 81598 1
36 147 1
36 58673 1
36 610 1
36 82320 1
36 39755 1
36 33817 2
36 48406 1
36 38547 1
36 360 5
36 99338 2
37 46549 1
37 46548 1
37 46545 1
37 22891 1
37 46547 1
37 46546 1
38 39 2
39 129417 1
39 158964 1
39 152720 1
39 153344 3
39 152719 5
39 153345 1
40 41 1
41 21983 1
42 43 1
43 171277 1
43 109790 1
43 67724 1
43 122836 1
43 56327 4
43 100861 1
43 183708 1
43 18328 1
43 82591 1
43 95716 1
43 103722 2
44 2620 1
44 45 3
45 46553 2
45 81296 1
45 78350 2
45 81297 1
46 122132 12
46 55143 1
46 178571 2
46 34964 1
46 47 1
46 6704 1
46 54498 3
48 49 1
50 51 4
51 4739 3
51 17565 1
51 103593 2
51 52 2
51 6281 3
51 112888 1
51 136852 2
51 175400 1
51 5134 1
51 175399 2
51 4509 3
51 53 6
51 78351 3
51 117797 5
53 4737 2
53 3981 2
53 49583 2
53 7369 2
53 11121 1
53 3178 2
53 4742 2
53 4738 3
53 47037 13
53 4741 1
53 4736 3
53 4735 1
53 4740 1
53 4739 5
54 55 4
54 176007 1
54 31465 2
54 15131 25
54 3925 2
54 80715 3
54 20706 1
54 13875 5
54 155280 1
54 73565 1
54 29774 1
54 94882 3
54 15704 1
54 56 22
54 42762 3
55 56 5
56 3926 3
56 845 1
56 71921 1
56 3927 2
56 145262 1
56 3925 12
57 35846 9
57 6206 15
57 2920 1
57 23391 17
57 14182 3
57 11961 13
57 67768 3
57 146105 2
57 42465 1
57 12771 2
57 637 7
57 151789 2
57 68373 1
57 17843 46
57 21499 3
57 102109 1
57 47200 5
57 126468 52
57 5485 1
57 98861 12
57 34380 1
57 1988 18
57 58072 59
57 80529 1
57 65702 3
57 46763 1
57 177565 2
57 181668 1
57 52788 22
57 84713 1
57 38583 29
57 47856 2
57 106062 1
57 6284 4
57 16527 9
57 1087 1
57 4099 1
57 50441 1
57 102009 4
57 36598 49
57 2529 5
57 49184 9
57 120804 1
57 32551 21
57 16480 25
57 122696 43
57 140201 3
57 7136 5
57 118478 3
57 56551 9
57 130348 2
57 3732 1
57 34007 8
57 52559 5
57 63742 7
57 48492 8
57 70368 33
57 15599 1
57 16535 4
57 17714 34
57 80166 1
57 58 22
57 2119 31
57 134533 1
57 114232 4
57 38438 8
57 157413 14
57 66452 87
57 1787 1
57 11881 52
57 63223 10
57 100615 6
57 1529 7
57 5553 3
57 132822 1
57 7232 2
57 12594 1
57 10763 13
57 417 2
57 52126 1
57 49487 20
57 47066 2
57 74 15
57 22139 7
57 12741 1
57 129945 3
57 109173 45
57 178258 1
57 1177 17
57 22640 9
57 32052 1
57 132592 2
57 3921 2
57 5654 1
57 52740 7
57 24264 56
57 7540 66
57 53712 23
57 122481 2
57 75077 21
57 19658 1
57 13605 9
57 12923 1
57 5090 10
57 48106 1
57 42963 1
57 6091 2
57 47369 7
57 156523 7
57 2808 51
57 74218 43
57 7753 1
57 153722 1
57 106926 1
57 111 16
57 93233 2
57 15983 13
57 68966 6
57 2691 1
57 63074 1
57 3027 32
57 17930 2
57 132613 2
57 80925 5
57 18727 9
58 103584 1
58 129248 1
58 46558 1
58 222 2
58 5933 1
58 152726 1
58 129246 1
58 103575 1
58 38867 1
58 18690 1
58 103605 3
58 61 1
58 129243 1
58 103580 1
58 103577 1
58 129245 1
58 108598 1
58 66 14
58 103589 1
58 78354 1
58 103583 1
58 64 1
58 103581 1
58 175401 1
58 22874 1
58 46557 1
58 78357 1
58 70 1
58 67 1
58 175403 1
58 103586 1
58 129249 1
58 69456 1
58 221 1
58 60 1
58 152725 1
58 103576 1
58 10684 1
58 129247 1
58 83 1
58 63 1
58 46560 1
58 103582 1
58 103579 1
58 175402 1
58 103587 1
58 78356 1
58 44518 1
58 129251 1
58 660 1
58 78353 1
58 103805 1
58 811 1
58 46556 1
58 103572 1
58 69 1
58 103588 1
58 103585 1
58 46559 1
58 152727 2
58 62 1
58 59 1
58 129242 1
58 103578 1
58 2473 6
58 22659 1
58 129250 1
58 78352 1
58 17372 2
58 4430 1
58 103571 1
58 12156 1
58 13610 1
58 103573 1
58 129244 1
58 103574 1
58 78355 1
58 68 1
58 65 1
62 8560 1
62 9957 1
62 73692 1
62 21914 1
63 110778 1
63 56066 1
63 121917 1
63 96330 1
63 116370 1
63 82662 1
63 115405 1
63 244 1
63 25040 1
63 11357 1
63 29559 1
63 46360 1
63 106598 1
63 168882 1
63 30143 1
63 98718 1
63 88521 1
63 82298 1
63 8934 1
63 166801 1
63 100687 1
63 4247 1
63 115143 2
63 24161 3
63 115144 1
63 37454 1
63 9957 1
63 34326 1
64 70 2
66 3580 5
66 6875 1
66 25612 1
66 133050 1
66 153333 1
66 74278 1
66 3491 1
66 29727 2
66 127503 1
66 149529 1
66 74 1
66 14609 1
66 158771 1
66 6688 2
66 51789 1
66 48635 1
66 81645 2
66 23599 2
66 30485 1
66 132422 1
66 125473 1
66 152787 1
66 79722 1
66 16767 3
66 60085 13
66 9957 3
66 2304 1
66 34118 2
66 94796 1
66 15528 1
66 8952 16
66 23925 3
66 18072 1
66 683 1
66 155868 1
66 169206 1
66 12521 1
66 41357 1
66 35643 1
66 29417 1
66 80061 1
66 94664 1
66 515 1
66 56372 1
66 84401 1
66 50031 1
66 131153 2
66 68125 1
66 53838 1
66 16486 2
66 167613 2
66 65464 2
66 3242 1
66 57279 1
66 127766 1
66 166084 1
66 1930 2
66 19030 3
66 88643 2
66 69761 3
66 10066 2
66 145318 1
66 57684 1
66 191490 1
66 651 3
66 95664 1
66 7022 1
66 191516 1
66 150242 1
66 11617 1
66 21878 3
66 24840 1
66 111 3
66 88180 1
66 46670 1
66 1232 1
66 81193 4
66 30616 1
66 85203 1
66 70979 4
66 143930 4
66 165590 1
66 51529 1
66 147227 1
66 164279 2
66 130805 3
66 138109 1
66 183416 3
66 79915 1
66 79452 1
66 193231 2
66 52830 4
66 98084 1
66 66344 2
66 91966 1
66 28051 1
66 12905 1
66 104900 1
66 160180 1
66 79665 1
66 94562 1
66 109138 3
66 326 3
66 220 2
66 18121 11
66 3321 1
66 38303 2
66 165336 1
66 85523 1
66 25349 2
66 46752 1
66 154718 1
66 84419 1
66 7305 1
66 46778 1
66 155543 1
66 152788 1
66 137297 1
66 18708 5
66 134937 1
66 34007 1
66 35630 3
66 29947 1
66 49078 1
66 2627 5
66 161728 1
66 29336 1
66 145321 1
66 20327 1
66 60489 2
66 3499 2
66 94 2
66 85154 1
66 16412 2
66 57614 1
66 569 1
66 90329 2
66 46806 1
66 27743 1
66 23346 1
66 3355 1
66 145740 1
66 80136 2
66 81091 3
66 153839 1
66 1247 2
66 2364 2
66 17835 1
66 89111 1
66 9103 1
66 19108 1
66 71739 2
66 49857 2
66 53901 1
66 59784 3
66 78376 2
66 12594 2
66 44654 4
66 135939 1
66 8949 2
66 144098 1
66 1227 1
66 153852 1
66 89721 1
66 153514 1
66 11304 2
66 33817 2
66 101660 1
66 4731 2
66 64697 3
66 5354 3
66 47779 5
66 36139 7
66 29150 1
66 170066 2
66 88742 1
66 55222 5
66 4239 1
66 93360 1
66 5240 1
66 86786 6
66 733 2
66 23160 1
66 691 1
66 82017 1
66 12852 3
66 88521 2
66 35540 2
66 59745 1
66 99191 1
66 80759 1
66 47054 3
66 10683 2
66 139360 1
66 68171 2
66 12180 1
66 135760 2
66 10562 1
66 136399 1
66 156792 1
66 46940 1
66 160663 1
66 40376 1
66 16115 1
66 34477 2
66 132457 1
66 174174 1
66 79110 1
66 99508 1
66 4359 4
66 135837 1
66 4302 1
66 141995 1
66 61170 1
66 78437 1
66 3314 1
67 171645 1
67 3561 1
67 21370 1
67 40007 1
67 23753 2
67 22877 1
67 8683 1
67 9084 1
67 150680 1
67 22931 1
67 25128 1
67 44306 1
70 73702 1
71 27821 1
71 101086 1
71 314 1
71 51729 7
71 193013 1
71 63267 1
71 186282 5
71 9999 1
71 62654 11
71 96878 1
71 37012 1
71 190679 1
71 64645 1
71 173747 1
71 174052 1
71 23820 2
71 134142 1
71 9979 1
71 104285 1
71 61897 9
71 68432 1
71 62656 6
71 22155 1
71 126321 1
71 125109 1
71 174580 5
71 58533 1
71 3591 1
71 8757 1
71 75349 2
71 163922 4
71 107471 1
71 101419 1
71 137893 1
71 75072 3
71 42848 2
71 116167 2
71 183358 1
71 162518 2
71 56809 1
71 76071 1
71 72 1
71 186281 3
71 577 1
71 62655 3
71 49814 1
71 54980 1
71 115985 17
72 175405 1
72 17723 1
72 175404 1
72 46951 1
72 3403 1
72 47114 1
72 2431 1
73 135021 1
73 18014 1
73 4763 1
73 15595 1
73 74 1
73 22261 1
73 11505 1
73 11170 1
73 65249 1
73 44587 1
73 3580 1
73 20682 1
73 144664 1
73 98604 1
73 31556 1
73 57697 1
74 103805 12
74 152732 1
74 78361 1
74 1495 1
74 133 1
74 81 4
74 77 1
74 12457 1
74 36277 2
74 78360 1
74 152734 1
74 78363 1
74 48273 1
74 79 1
74 103595 1
74 35617 1
74 44859 1
74 5484 1
74 129257 1
74 78362 1
74 9268 1
74 78365 1
74 78 1
74 114790 2
74 10840 1
74 46565 1
74 49139 3
74 222 1
74 129256 1
74 6324 2
74 5079 1
74 721 1
74 129259 1
74 78364 1
74 46564 1
74 78367 1
74 57385 1
74 46567 1
74 264 1
74 8177 1
74 152727 2
74 129711 1
74 2919 5
74 129258 1
74 342 1
74 7008 1
74 78366 1
74 89 5
74 46566 1
74 2844 3
74 88 1
74 1090 1
74 266 1
74 91799 1
74 129253 2
74 129260 1
74 922 1
74 104679 1
74 175409 1
74 53434 1
74 50280 1
74 175408 1
74 189 1
74 83 2
74 175411 1
74 83477 1
74 80 1
74 46557 1
74 76 23
74 127059 1
74 175410 1
74 191 1
74 80204 1
74 5058 1
74 78359 1
74 82 1
74 5933 2
74 46569 1
74 175412 1
74 87 2
74 3869 1
74 252 1
74 2395 1
74 85 85
74 46568 1
74 84 1
74 46571 1
74 152729 1
74 129252 1
74 809 1
74 129255 1
74 16756 1
74 75 1
74 46570 1
74 2134 1
74 260 1
74 152731 1
74 6325 1
74 129254 1
74 44643 1
74 103596 3
74 86 2
74 152730 1
74 7430 1
74 20099 1
74 152733 1
74 3243 1
74 46890 1
74 82047 1
75 16672 1
75 22155 2
75 28825 1
75 40133 1
75 2808 1
75 133836 1
75 48947 1
75 18121 1
75 19520 1
75 13645 1
75 46643 1
75 5485 2
75 46426 1
75 35997 1
75 8840 1
75 4494 1
75 3086 1
75 48854 1
75 155245 1
75 13388 1
75 14409 1
75 111016 1
75 3089 1
75 2010 2
75 154030 1
75 135723 1
75 1567 3
75 3236 1
75 14546 1
75 2304 1
75 145211 1
75 36276 1
75 4913 1
75 13981 1
75 62834 1
75 132479 1
76 9888 1
76 24199 3
76 92099 1
76 133540 3
76 881 28
76 19408 4
76 153077 1
76 51156 1
76 103834 2
76 130319 1
76 9405 2
76 156888 2
76 24201 4
76 80324 2
76 1426 1
76 19520 1
76 1022 1
76 13499 14
76 90068 2
76 14023 1
76 29041 1
76 24198 3
76 3086 1
76 135115 1
76 139896 2
76 62466 2
76 62013 2
76 179414 1
76 807 29
76 1087 1
76 62467 2
76 50892 1
76 24200 2
76 6459 14
76 37127 1
76 138260 1
76 90069 2
76 327 7
76 62465 4
76 32253 1
76 75293 2
76 75164 3
76 186 7
76 1425 13
76 130074 2
76 109672 4
76 104745 1
76 83521 2
76 186147 8
76 24202 5
76 179182 2
76 66202 1
76 81224 1
76 2512 3
76 115998 2
76 191521 4
76 70419 5
76 1424 1
76 8934 2
76 2044 1
76 90067 3
76 1177 2
76 186148 2
76 175717 3
76 24197 2
76 63110 1
76 11737 1
77 14365 9
77 13851 1
77 26729 1
78 133529 1
78 5485 1
78 42761 1
78 155304 1
78 340 2
78 180249 1
78 47997 1
78 1177 1
78 4247 1
78 56408 1
78 59730 1
78 33817 1
79 2072 1
80 155862 3
80 80717 1
80 958 2
80 131881 1
80 981 1
80 247 1
80 64724 1
80 1201 1
80 51074 1
80 55089 1
80 103952 1
80 45112 1
80 176644 1
80 17145 1
80 194 1
80 1623 1
80 140376 1
80 48101 1
80 131300 1
80 1202 1
81 51062 2
81 7117 2
81 74278 1
81 75683 1
81 85460 1
81 33817 1
81 29125 1
81 119967 1
81 39724 1
81 6313 1
81 129350 1
81 3086 1
81 51069 2
81 10872 2
81 130271 2
81 7112 4
81 51058 3
81 51055 2
81 65704 1
81 7115 2
81 125923 1
81 6223 1
81 131341 2
81 130137 1
81 106693 1
81 96082 1
81 133343 1
81 3584 1
81 82317 1
81 7511 2
81 50031 1
81 2126 1
81 63435 1
81 3242 1
81 10946 2
81 51067 2
81 7114 2
81 31940 1
81 7008 1
81 12917 1
81 132363 2
81 51057 2
81 146155 1
81 51064 1
81 139724 1
81 80333 1
81 132362 2
81 65577 1
81 79049 2
81 41109 1
81 50064 3
81 80451 1
81 3150 1
81 5578 2
81 75616 1
81 80414 1
81 11212 1
81 3089 1
81 58946 1
81 81538 3
81 93880 1
81 38049 1
81 51060 3
81 82133 1
81 52230 1
81 51066 2
81 48947 2
81 43175 5
81 18359 1
81 50533 1
81 79231 1
81 2523 1
81 2304 7
81 46830 1
81 106692 2
81 81537 2
81 129918 1
81 51056 4
81 15381 1
81 11870 2
81 78606 1
81 186 2
81 100829 1
81 51059 2
81 22155 1
81 2305 1
81 3404 1
81 73929 1
81 2121 8
81 82255 1
81 2524 1
81 130698 1
81 62999 1
81 14277 1
81 132366 2
81 7111 2
81 7116 2
81 132367 2
81 282 1
81 24062 3
81 132365 2
81 132893 1
81 60819 1
81 5572 1
81 51061 1
81 26123 2
81 51063 2
81 19738 2
81 51068 2
81 72147 2
81 13061 1
81 23160 1
81 79109 1
81 34329 8
81 84278 1
81 86848 1
81 132364 2
81 19067 1
81 7113 2
81 58310 1
81 7488 1
81 5106 4
81 42506 1
81 51065 2
81 58944 3
81 29146 2
81 6101 1
81 49713 1
81 130519 2
81 47376 1
81 130041 1
81 5485 8
81 86744 1
81 54547 1
81 7807 1
82 41411 2
82 50759 1
82 147176 1
82 47733 1
82 185379 1
82 88916 1
82 41149 1
82 47050 1
82 33605 1
82 62584 1
82 165860 1
82 142656 1
82 167629 1
82 83175 1
82 159411 2
82 150673 2
82 140696 1
82 3089 1
82 51279 1
82 49924 2
82 10464 2
82 47488 1
82 958 1
82 11720 1
82 31550 1
82 111 1
82 81486 1
82 2918 2
82 99705 1
82 54488 1
82 53523 1
82 7424 2
83 105580 2
83 186 1
83 23160 1
83 22873 1
83 46584 1
83 2529 1
83 2406 4
83 84327 1
83 50758 1
83 130548 1
83 22861 5
83 14231 2
83 11617 1
83 25843 2
83 2400 1
83 5485 1
83 593 3
83 47232 1
83 11576 1
83 1371 2
83 9957 2
83 6994 1
83 14976 1
83 6206 1
83 1968 4
83 157128 1
83 119509 1
83 21673 3
83 17145 1
83 79189 1
83 383 1
84 51584 1
84 158911 5
84 105169 1
84 111471 2
84 181284 14
85 73110 3
85 180702 1
85 4173 2
85 51642 1
85 182320 1
85 282 40
85 188797 3
85 168806 7
85 48947 1
85 50578 1
85 46974 1
85 66454 2
85 175495 1
85 175806 1
85 17582 13
85 186 2
85 79490 2
85 47190 1
85 72147 1
85 1087 92
85 327 3
85 98682 1
85 154247 1
85 61155 2
85 38338 1
85 72982 4
85 2524 1
85 23864 1
85 6459 2
85 61837 1
85 67006 1
85 103997 1
85 6101 1
85 47995 6
85 13981 1
85 79968 1
85 22698 1
85 18359 1
85 33817 2
85 5572 1
85 50892 3
85 7807 1
86 11870 1
86 137800 1
86 57482 1
86 303 2
86 91956 1
86 2854 1
86 2338 2
86 104916 1
86 6672 2
86 247 2
86 911 1
86 24880 1
86 186 7
86 104915 2
86 7511 1
86 17144 1
86 84498 8
86 2304 3
86 48947 1
86 4449 1
86 16473 1
86 9759 1
86 129409 1
86 5485 2
86 9338 1
86 42714 1
86 220 2
86 35997 1
86 28725 2
86 2801 1
86 5807 1
86 8656 1
86 9957 1
86 6667 1
86 4665 1
86 6313 4
86 3242 2
86 28592 1
86 17770 2
86 47620 1
86 16742 1
86 9266 1
86 6673 5
86 42915 1
86 81962 1
86 2042 1
86 30215 1
86 65704 1
86 6668 7
86 73485 1
86 2010 2
86 49528 1
86 6018 1
86 6666 1
86 3104 4
86 4664 1
86 23926 1
86 6670 2
86 3236 1
86 136737 1
86 34329 8
86 4842 2
86 6669 1
86 80393 1
86 6671 2
86 1946 1
86 7807 9
86 6665 2
86 35541 1
86 6534 1
86 8818 2
86 33817 6
86 36657 1
86 2305 1
86 1015 3
86 2126 1
86 133863 1
86 42244 3
86 130133 1
86 16741 1
86 42934 1
86 5572 1
86 4033 1
86 4247 1
86 2140 2
87 70720 1
87 958 1
87 84443 1
87 5485 2
87 156586 1
87 1992 1
87 79459 1
87 177588 1
87 303 1
87 733 1
87 83051 1
87 59004 1
87 42890 1
87 4942 2
87 192260 1
89 1368 1
90 103805 1
91 92 2
91 80370 1
93 94 1
93 106370 1
94 96 1
94 4790 1
94 1772 1
94 2633 1
94 78375 1
94 46581 1
94 78374 1
94 103601 1
94 103600 1
94 34475 1
94 46583 1
94 78373 1
94 46582 1
94 5733 2
94 97 1
94 95 1
95 42732 2
95 11921 8
95 65411 1
95 17289 1
95 8034 9
95 18997 2
95 38691 1
95 29930 5
95 21762 1
95 53870 1
95 182975 2
95 8246 1
95 5969 4
95 6281 1
95 3136 1
95 11597 1
95 16975 2
95 160103 1
95 83320 6
95 14352 3
95 11459 1
95 30901 2
95 8983 2
95 27776 17
95 27869 1
95 3934 1
95 52578 3
95 14905 1
95 13395 1
95 39730 1
95 6250 5
95 33802 6
95 8990 14
95 12945 1
95 8143 1
95 21202 4
95 78218 5
95 25519 4
95 8145 6
95 17946 13
95 8154 2
95 53216 2
95 14327 4
95 18532 7
95 19180 1
95 16666 1
95 5970 5
95 19971 1
95 17291 3
95 1685 3
95 16966 3
95 17290 14
95 4628 6
95 28014 1
95 3293 3
95 25881 2
95 39315 1
95 17288 4
96 3008 1
96 38870 2
96 36681 1
96 9704 1
96 19176 1
96 3331 20
96 13115 7
96 9195 1
96 11551 2
96 73035 1
96 37738 32
96 3510 1
96 16966 1
96 11559 2
97 80426 1
98 165900 1
98 33594 1
98 114851 1
98 110961 2
98 144023 3
98 187426 1
98 114634 1
98 92247 1
98 136542 2
98 135156 1
98 139799 2
98 130078 1
98 145334 2
98 126281 1
98 109575 1
98 156840 1
98 99 1
98 107376 1
98 444 2
98 132806 2
98 82523 2
98 190176 2
98 56684 1
98 178237 1
98 85382 1
98 40369 1
98 103745 1
98 121437 3
98 130283 2
99 152738 1
100 178171 1
100 37036 1
100 170672 1
100 105725 1
100 78470 5
100 101 1
100 194067 1
100 100978 1
102 132274 1
102 103 2
102 103599 1
104 179184 1
104 105 1
106 108 2
106 111796 3
106 143527 1
106 71652 1
106 107 2
106 9060 1
106 109 4
109 9060 1
110 45153 2
110 143885 1
110 69854 1
110 43570 2
110 30362 3
110 111 1
110 39982 2
111 685 1
111 2473 2
